value,record,element,collection
AA00062911_00003180516Imported from (NOTIS)on10357Bibliothèque Haïtienne des Frères de l'Instruction ChrètienneFUGengFrenchfrerda|pn,11,recordInfo,dlc
on10357,11,identifier,dlc
1035767049,11,identifier,dlc
2018227480,11,identifier,dlc
on1035767049,11,identifier,dlc
30558050,11,identifier,dlc
94021837,11,identifier,dlc
"Imprimerie Vve J Chenetht04-10-189718971897Weekly (""parassant le samedi"")weeklyregular",11,originInfo,dlc
1 online resource :  ;,11,relatedItem,dlc
18971897April4101018971897April41010,11,relatedItem,dlc
"3055805094021837http://ufdc.ufl.edu/l/AA00062912Drapeau (Port-au-Prince, Haiti)",11,relatedItem,dlc
newspaper,11,genre,dlc
newspaper,11,genre,dlc
Newspapers,11,genre,dlc
18971897April4101018971897April41010,11,part,dlc
AN 111.P67 A23,11,classification,dlc
text,11,typeOfResource,dlc
"This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",11,accessCondition,dlc
HaitiPort-au-Prince,11,subject,dlc
Port-au-Prince (Haiti)Newspapers,11,subject,dlc
1 online resource :  ;,11,physicalDescription,dlc
Ceased with: 1ére. Année. No 18 (31 juillet 1897),11,note,dlc
Frenchfre,11,language,dlc
"Drapeau (Port-au-Prince, Haiti)",11,titleInfo,dlc
L'ABC,11,titleInfo,dlc
AA00062911_00002180516Imported from (NOTIS)on10357Bibliothèque Haïtienne des Frères de l'Instruction ChrètienneFUGengFrenchfrerda|pn,10,recordInfo,dlc
on10357,10,identifier,dlc
1035767049,10,identifier,dlc
2018227480,10,identifier,dlc
on1035767049,10,identifier,dlc
30558050,10,identifier,dlc
94021837,10,identifier,dlc
"Imprimerie Vve J Chenetht04-03-189718971897Weekly (""parassant le samedi"")weeklyregular",10,originInfo,dlc
1 online resource :  ;,10,relatedItem,dlc
18971897April43318971897April433,10,relatedItem,dlc
"3055805094021837http://ufdc.ufl.edu/l/AA00062912Drapeau (Port-au-Prince, Haiti)",10,relatedItem,dlc
newspaper,10,genre,dlc
newspaper,10,genre,dlc
Newspapers,10,genre,dlc
18971897April43318971897April433,10,part,dlc
AN 111.P67 A23,10,classification,dlc
text,10,typeOfResource,dlc
"This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",10,accessCondition,dlc
HaitiPort-au-Prince,10,subject,dlc
Port-au-Prince (Haiti)Newspapers,10,subject,dlc
1 online resource :  ;,10,physicalDescription,dlc
Ceased with: 1ére. Année. No 18 (31 juillet 1897),10,note,dlc
Frenchfre,10,language,dlc
"Drapeau (Port-au-Prince, Haiti)",10,titleInfo,dlc
L'ABC,10,titleInfo,dlc
AA00062911_00001180516Imported from (NOTIS)on10357Bibliothèque Haïtienne des Frères de l'Instruction ChrètienneFUGengFrenchfrerda|pn,9,recordInfo,dlc
on10357,9,identifier,dlc
1035767049,9,identifier,dlc
2018227480,9,identifier,dlc
on1035767049,9,identifier,dlc
30558050,9,identifier,dlc
94021837,9,identifier,dlc
"Imprimerie Vve J Chenetht03-27-189718971897Weekly (""parassant le samedi"")weeklyregular",9,originInfo,dlc
1 online resource :  ;,9,relatedItem,dlc
18971897March3272718971897March32727,9,relatedItem,dlc
"3055805094021837http://ufdc.ufl.edu/l/AA00062912Drapeau (Port-au-Prince, Haiti)",9,relatedItem,dlc
newspaper,9,genre,dlc
newspaper,9,genre,dlc
Newspapers,9,genre,dlc
18971897March3272718971897March32727,9,part,dlc
AN 111.P67 A23,9,classification,dlc
text,9,typeOfResource,dlc
"This item was contributed to the Digital Library of the Caribbean (dLOC) by the source institution listed in the metadata. This item may or may not be protected by copyright in the country where it was produced. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by applicable law, including any applicable international copyright treaty or fair use or fair dealing statutes, which dLOC partners have explicitly supported and endorsed. Any reuse of this item in excess of applicable copyright exceptions may require permission. dLOC would encourage users to contact the source institution directly or dloc@fiu.edu to request more information about copyright status or to provide additional information about the item.",9,accessCondition,dlc
HaitiPort-au-Prince,9,subject,dlc
Port-au-Prince (Haiti)Newspapers,9,subject,dlc
1 online resource :  ;,9,physicalDescription,dlc
Ceased with: 1ére. Année. No 18 (31 juillet 1897),9,note,dlc
Frenchfre,9,language,dlc
"Drapeau (Port-au-Prince, Haiti)",9,titleInfo,dlc
L'ABC,9,titleInfo,dlc
AA00010296_00008University of Florida,8,recordInfo,dlc
31169,8,identifier,dlc
HaitiFrench Colony of Saint-Domingue,8,originInfo,dlc
Manuscript materials from 16 microfilm reels,8,relatedItem,dlc
16 volume composite Saint Domingue Manuscript CollectionReel 9 manuscripts - LLMC MS - 31169.0008.0019,8,relatedItem,dlc
Reel 9 manuscripts - LLMC MS - 31169.0008.0019,8,part,dlc
"The University of Florida’s Saint Domingue Collection; the Manuscripts: 16 online volumes corresponding to the 16 reels of microfilm from the University Library’s collection from which manuscripts were extracted and digitized. (The Saint Domingue Collection, an assemblage of 20 reels of microfilm containing 186 print titles and several hundred manuscripts and maps illustrative of the colonial era in the French Colony of Saint-Domingue, was assembled by University of Florida librarians in the mid-1950s. Most of the documents came from the French National Archives, although a portion of the manuscripts were mined from the University’s own collections. The University Library generously loaned the film to LLMC for digitization to enrich its Haiti Legal Patrimony Collection, and also bore half the cost of the digitization. Unfortunately, all of these historical gems have long languished in obscurity in their film format, and would have met much the same fate had that same formatting been transferred directly online. Therefore, while the provenance of each separate item is carefully acknowledged, the collection has been broken up into smaller units to make them more discoverable and citeable as follows. All of the print items were reassembled in the following pattern: A.) 69 print items are offered on this site as standalone titles; B.) 67 print items were reassembled into a composite title covering Activities in Saint Domingue; C.) 27 print items were reassembled into a a composite title - French Documents Related to Saint-Domingue; D.) 19 print items were reassembled into a a composite title - French Documents Related to the French Colonies; and E.) all of the hundreds of manuscripts were organized into a composite title of 16 volumes entitled Saint Domingue Collection, The Manuscripts. While the manuscript volumes follow a somewhat different plan, all of the parts within each of the three composite print titles {B-C-D above} are organized in rough chronological order, and each composite title has been enhanced with a detailed Table of Contents. Given that the part numbers assigned to these items will never change, a given part can be cited with confidence. The manuscripts that were extracted from those 16 reels of the microfilm that contained manuscripts have been grouped into the 16 online volumes comprising the present composite title, with the items appearing in the exact order in which they appeared on the film, along with images of any film guides that may have been provided. Each of the 16 online volumes is also being provided with its own “living index.” LLMC welcomes additions to these “living indexes” as volunteered by interested scholars willing to submit their identifications of particular manuscripts or notes of related historical content. Updated versions of the indexes will be “swapped in” as additional editorial matter is received. Parties interested in participating in this “living index” project should should contact Matthew Loving, MLS MA, Romance languages/Area Studies Librarian at the UFL Smathers Library mwloving@ad.ufl.edu.)",8,abstract,dlc
mixed material,8,typeOfResource,dlc
"The University of Florida George A. Smathers Libraries respect the intellectual property rights of others and do not claim any copyright interest in this item. This item may be protected by copyright but is made available here under a claim of fair use (17 U.S.C. §107) for non-profit research and educational purposes. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by fair use or other copyright exemptions. Any reuse of this item in excess of fair use or other copyright exemptions requires permission of the copyright holder. The Smathers Libraries would like to learn more about this item and invite individuals or organizations to contact Digital Services (UFDC@uflib.ufl.edu) with any additional information they can provide.",8,accessCondition,dlc
Manuscript materials from 16 microfilm reels,8,physicalDescription,dlc
"All of the manuscripts were kept with the other manuscripts that appeared on the same reel; in exactly the same order as they appeared on the reel. Four of the original 20 reels (#1, 15, 16 & 17) had only print items and were not digitized, so there are only 16 digital volumes that correspond to the different reels. The reels correspond to these LLMC nos: reel 2 manuscripts - 31169.0001.001; reel 3 manuscripts - 31169.0002.001; reel 4 manuscripts - 31169.0003.001; reel 5 manuscripts - 31169.0004.001;  reel 6 manuscripts - 31169.0005.001;  reel 7 manuscripts - 31169.0006.001; reel 8 manuscripts - 31169.0007.001;  reel 9 manuscripts - -31169.0008.001; reel 10 manuscripts- 31169.0009.001; reel 11 manuscripts- 31169.0010.001; reel 12 manuscripts- 31169.0011.001; reel 13 manuscripts- 31169.0012.001; reel 14 manuscripts- 31169.0013.001; reel 18 manuscripts- 31169.0014.001; reel 19 manuscripts- 31169.0015.001; reel 20 manuscripts- 31169.0016.001",8,note,dlc
16 volume composite Saint Domingue Manuscript Collection,8,titleInfo,dlc
Reel 9 manuscripts - LLMC MS - 31169.0008.001,8,titleInfo,dlc
AA00010296_00007University of Florida,7,recordInfo,dlc
31169,7,identifier,dlc
HaitiFrench Colony of Saint-Domingue,7,originInfo,dlc
Manuscript materials from 16 microfilm reels,7,relatedItem,dlc
16 volume composite Saint Domingue Manuscript CollectionReel 8 manuscripts - LLMC MS - 31169.0007.0018,7,relatedItem,dlc
Reel 8 manuscripts - LLMC MS - 31169.0007.0018,7,part,dlc
"The University of Florida’s Saint Domingue Collection; the Manuscripts: 16 online volumes corresponding to the 16 reels of microfilm from the University Library’s collection from which manuscripts were extracted and digitized. (The Saint Domingue Collection, an assemblage of 20 reels of microfilm containing 186 print titles and several hundred manuscripts and maps illustrative of the colonial era in the French Colony of Saint-Domingue, was assembled by University of Florida librarians in the mid-1950s. Most of the documents came from the French National Archives, although a portion of the manuscripts were mined from the University’s own collections. The University Library generously loaned the film to LLMC for digitization to enrich its Haiti Legal Patrimony Collection, and also bore half the cost of the digitization. Unfortunately, all of these historical gems have long languished in obscurity in their film format, and would have met much the same fate had that same formatting been transferred directly online. Therefore, while the provenance of each separate item is carefully acknowledged, the collection has been broken up into smaller units to make them more discoverable and citeable as follows. All of the print items were reassembled in the following pattern: A.) 69 print items are offered on this site as standalone titles; B.) 67 print items were reassembled into a composite title covering Activities in Saint Domingue; C.) 27 print items were reassembled into a a composite title - French Documents Related to Saint-Domingue; D.) 19 print items were reassembled into a a composite title - French Documents Related to the French Colonies; and E.) all of the hundreds of manuscripts were organized into a composite title of 16 volumes entitled Saint Domingue Collection, The Manuscripts. While the manuscript volumes follow a somewhat different plan, all of the parts within each of the three composite print titles {B-C-D above} are organized in rough chronological order, and each composite title has been enhanced with a detailed Table of Contents. Given that the part numbers assigned to these items will never change, a given part can be cited with confidence. The manuscripts that were extracted from those 16 reels of the microfilm that contained manuscripts have been grouped into the 16 online volumes comprising the present composite title, with the items appearing in the exact order in which they appeared on the film, along with images of any film guides that may have been provided. Each of the 16 online volumes is also being provided with its own “living index.” LLMC welcomes additions to these “living indexes” as volunteered by interested scholars willing to submit their identifications of particular manuscripts or notes of related historical content. Updated versions of the indexes will be “swapped in” as additional editorial matter is received. Parties interested in participating in this “living index” project should should contact Matthew Loving, MLS MA, Romance languages/Area Studies Librarian at the UFL Smathers Library mwloving@ad.ufl.edu.)",7,abstract,dlc
mixed material,7,typeOfResource,dlc
"The University of Florida George A. Smathers Libraries respect the intellectual property rights of others and do not claim any copyright interest in this item. This item may be protected by copyright but is made available here under a claim of fair use (17 U.S.C. §107) for non-profit research and educational purposes. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by fair use or other copyright exemptions. Any reuse of this item in excess of fair use or other copyright exemptions requires permission of the copyright holder. The Smathers Libraries would like to learn more about this item and invite individuals or organizations to contact Digital Services (UFDC@uflib.ufl.edu) with any additional information they can provide.",7,accessCondition,dlc
Manuscript materials from 16 microfilm reels,7,physicalDescription,dlc
"All of the manuscripts were kept with the other manuscripts that appeared on the same reel; in exactly the same order as they appeared on the reel. Four of the original 20 reels (#1, 15, 16 & 17) had only print items and were not digitized, so there are only 16 digital volumes that correspond to the different reels. The reels correspond to these LLMC nos: reel 2 manuscripts - 31169.0001.001; reel 3 manuscripts - 31169.0002.001; reel 4 manuscripts - 31169.0003.001; reel 5 manuscripts - 31169.0004.001;  reel 6 manuscripts - 31169.0005.001;  reel 7 manuscripts - 31169.0006.001; reel 8 manuscripts - 31169.0007.001;  reel 9 manuscripts - -31169.0008.001; reel 10 manuscripts- 31169.0009.001; reel 11 manuscripts- 31169.0010.001; reel 12 manuscripts- 31169.0011.001; reel 13 manuscripts- 31169.0012.001; reel 14 manuscripts- 31169.0013.001; reel 18 manuscripts- 31169.0014.001; reel 19 manuscripts- 31169.0015.001; reel 20 manuscripts- 31169.0016.001",7,note,dlc
16 volume composite Saint Domingue Manuscript Collection,7,titleInfo,dlc
Reel 8 manuscripts - LLMC MS - 31169.0007.001,7,titleInfo,dlc
AA00010296_00006University of Florida,6,recordInfo,dlc
31169,6,identifier,dlc
HaitiFrench Colony of Saint-Domingue,6,originInfo,dlc
Manuscript materials from 16 microfilm reels,6,relatedItem,dlc
16 volume composite Saint Domingue Manuscript CollectionReel 7 manuscripts - LLMC MS - 31169.0006.0017,6,relatedItem,dlc
Reel 7 manuscripts - LLMC MS - 31169.0006.0017,6,part,dlc
"The University of Florida’s Saint Domingue Collection; the Manuscripts: 16 online volumes corresponding to the 16 reels of microfilm from the University Library’s collection from which manuscripts were extracted and digitized. (The Saint Domingue Collection, an assemblage of 20 reels of microfilm containing 186 print titles and several hundred manuscripts and maps illustrative of the colonial era in the French Colony of Saint-Domingue, was assembled by University of Florida librarians in the mid-1950s. Most of the documents came from the French National Archives, although a portion of the manuscripts were mined from the University’s own collections. The University Library generously loaned the film to LLMC for digitization to enrich its Haiti Legal Patrimony Collection, and also bore half the cost of the digitization. Unfortunately, all of these historical gems have long languished in obscurity in their film format, and would have met much the same fate had that same formatting been transferred directly online. Therefore, while the provenance of each separate item is carefully acknowledged, the collection has been broken up into smaller units to make them more discoverable and citeable as follows. All of the print items were reassembled in the following pattern: A.) 69 print items are offered on this site as standalone titles; B.) 67 print items were reassembled into a composite title covering Activities in Saint Domingue; C.) 27 print items were reassembled into a a composite title - French Documents Related to Saint-Domingue; D.) 19 print items were reassembled into a a composite title - French Documents Related to the French Colonies; and E.) all of the hundreds of manuscripts were organized into a composite title of 16 volumes entitled Saint Domingue Collection, The Manuscripts. While the manuscript volumes follow a somewhat different plan, all of the parts within each of the three composite print titles {B-C-D above} are organized in rough chronological order, and each composite title has been enhanced with a detailed Table of Contents. Given that the part numbers assigned to these items will never change, a given part can be cited with confidence. The manuscripts that were extracted from those 16 reels of the microfilm that contained manuscripts have been grouped into the 16 online volumes comprising the present composite title, with the items appearing in the exact order in which they appeared on the film, along with images of any film guides that may have been provided. Each of the 16 online volumes is also being provided with its own “living index.” LLMC welcomes additions to these “living indexes” as volunteered by interested scholars willing to submit their identifications of particular manuscripts or notes of related historical content. Updated versions of the indexes will be “swapped in” as additional editorial matter is received. Parties interested in participating in this “living index” project should should contact Matthew Loving, MLS MA, Romance languages/Area Studies Librarian at the UFL Smathers Library mwloving@ad.ufl.edu.)",6,abstract,dlc
mixed material,6,typeOfResource,dlc
"The University of Florida George A. Smathers Libraries respect the intellectual property rights of others and do not claim any copyright interest in this item. This item may be protected by copyright but is made available here under a claim of fair use (17 U.S.C. §107) for non-profit research and educational purposes. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by fair use or other copyright exemptions. Any reuse of this item in excess of fair use or other copyright exemptions requires permission of the copyright holder. The Smathers Libraries would like to learn more about this item and invite individuals or organizations to contact Digital Services (UFDC@uflib.ufl.edu) with any additional information they can provide.",6,accessCondition,dlc
Manuscript materials from 16 microfilm reels,6,physicalDescription,dlc
"All of the manuscripts were kept with the other manuscripts that appeared on the same reel; in exactly the same order as they appeared on the reel. Four of the original 20 reels (#1, 15, 16 & 17) had only print items and were not digitized, so there are only 16 digital volumes that correspond to the different reels. The reels correspond to these LLMC nos: reel 2 manuscripts - 31169.0001.001; reel 3 manuscripts - 31169.0002.001; reel 4 manuscripts - 31169.0003.001; reel 5 manuscripts - 31169.0004.001;  reel 6 manuscripts - 31169.0005.001;  reel 7 manuscripts - 31169.0006.001; reel 8 manuscripts - 31169.0007.001;  reel 9 manuscripts - -31169.0008.001; reel 10 manuscripts- 31169.0009.001; reel 11 manuscripts- 31169.0010.001; reel 12 manuscripts- 31169.0011.001; reel 13 manuscripts- 31169.0012.001; reel 14 manuscripts- 31169.0013.001; reel 18 manuscripts- 31169.0014.001; reel 19 manuscripts- 31169.0015.001; reel 20 manuscripts- 31169.0016.001",6,note,dlc
16 volume composite Saint Domingue Manuscript Collection,6,titleInfo,dlc
Reel 7 manuscripts - LLMC MS - 31169.0006.001,6,titleInfo,dlc
AA00010296_00005University of Florida,5,recordInfo,dlc
31169,5,identifier,dlc
HaitiFrench Colony of Saint-Domingue,5,originInfo,dlc
Manuscript materials from 16 microfilm reels,5,relatedItem,dlc
16 volume composite Saint Domingue Manuscript CollectionReel 6 manuscripts - LLMC MS - 31169.0005.0016,5,relatedItem,dlc
Reel 6 manuscripts - LLMC MS - 31169.0005.0016,5,part,dlc
"The University of Florida’s Saint Domingue Collection; the Manuscripts: 16 online volumes corresponding to the 16 reels of microfilm from the University Library’s collection from which manuscripts were extracted and digitized. (The Saint Domingue Collection, an assemblage of 20 reels of microfilm containing 186 print titles and several hundred manuscripts and maps illustrative of the colonial era in the French Colony of Saint-Domingue, was assembled by University of Florida librarians in the mid-1950s. Most of the documents came from the French National Archives, although a portion of the manuscripts were mined from the University’s own collections. The University Library generously loaned the film to LLMC for digitization to enrich its Haiti Legal Patrimony Collection, and also bore half the cost of the digitization. Unfortunately, all of these historical gems have long languished in obscurity in their film format, and would have met much the same fate had that same formatting been transferred directly online. Therefore, while the provenance of each separate item is carefully acknowledged, the collection has been broken up into smaller units to make them more discoverable and citeable as follows. All of the print items were reassembled in the following pattern: A.) 69 print items are offered on this site as standalone titles; B.) 67 print items were reassembled into a composite title covering Activities in Saint Domingue; C.) 27 print items were reassembled into a a composite title - French Documents Related to Saint-Domingue; D.) 19 print items were reassembled into a a composite title - French Documents Related to the French Colonies; and E.) all of the hundreds of manuscripts were organized into a composite title of 16 volumes entitled Saint Domingue Collection, The Manuscripts. While the manuscript volumes follow a somewhat different plan, all of the parts within each of the three composite print titles {B-C-D above} are organized in rough chronological order, and each composite title has been enhanced with a detailed Table of Contents. Given that the part numbers assigned to these items will never change, a given part can be cited with confidence. The manuscripts that were extracted from those 16 reels of the microfilm that contained manuscripts have been grouped into the 16 online volumes comprising the present composite title, with the items appearing in the exact order in which they appeared on the film, along with images of any film guides that may have been provided. Each of the 16 online volumes is also being provided with its own “living index.” LLMC welcomes additions to these “living indexes” as volunteered by interested scholars willing to submit their identifications of particular manuscripts or notes of related historical content. Updated versions of the indexes will be “swapped in” as additional editorial matter is received. Parties interested in participating in this “living index” project should should contact Matthew Loving, MLS MA, Romance languages/Area Studies Librarian at the UFL Smathers Library mwloving@ad.ufl.edu.)",5,abstract,dlc
mixed material,5,typeOfResource,dlc
"The University of Florida George A. Smathers Libraries respect the intellectual property rights of others and do not claim any copyright interest in this item. This item may be protected by copyright but is made available here under a claim of fair use (17 U.S.C. §107) for non-profit research and educational purposes. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by fair use or other copyright exemptions. Any reuse of this item in excess of fair use or other copyright exemptions requires permission of the copyright holder. The Smathers Libraries would like to learn more about this item and invite individuals or organizations to contact Digital Services (UFDC@uflib.ufl.edu) with any additional information they can provide.",5,accessCondition,dlc
Manuscript materials from 16 microfilm reels,5,physicalDescription,dlc
"All of the manuscripts were kept with the other manuscripts that appeared on the same reel; in exactly the same order as they appeared on the reel. Four of the original 20 reels (#1, 15, 16 & 17) had only print items and were not digitized, so there are only 16 digital volumes that correspond to the different reels. The reels correspond to these LLMC nos: reel 2 manuscripts - 31169.0001.001; reel 3 manuscripts - 31169.0002.001; reel 4 manuscripts - 31169.0003.001; reel 5 manuscripts - 31169.0004.001;  reel 6 manuscripts - 31169.0005.001;  reel 7 manuscripts - 31169.0006.001; reel 8 manuscripts - 31169.0007.001;  reel 9 manuscripts - -31169.0008.001; reel 10 manuscripts- 31169.0009.001; reel 11 manuscripts- 31169.0010.001; reel 12 manuscripts- 31169.0011.001; reel 13 manuscripts- 31169.0012.001; reel 14 manuscripts- 31169.0013.001; reel 18 manuscripts- 31169.0014.001; reel 19 manuscripts- 31169.0015.001; reel 20 manuscripts- 31169.0016.001",5,note,dlc
16 volume composite Saint Domingue Manuscript Collection,5,titleInfo,dlc
Reel 6 manuscripts - LLMC MS - 31169.0005.001,5,titleInfo,dlc
AA00010296_00004University of Florida,4,recordInfo,dlc
31169,4,identifier,dlc
HaitiFrench Colony of Saint-Domingue,4,originInfo,dlc
Manuscript materials from 16 microfilm reels,4,relatedItem,dlc
16 volume composite Saint Domingue Manuscript CollectionReel 5 manuscripts - LLMC MS - 31169.0004.0015,4,relatedItem,dlc
Reel 5 manuscripts - LLMC MS - 31169.0004.0015,4,part,dlc
"The University of Florida’s Saint Domingue Collection; the Manuscripts: 16 online volumes corresponding to the 16 reels of microfilm from the University Library’s collection from which manuscripts were extracted and digitized. (The Saint Domingue Collection, an assemblage of 20 reels of microfilm containing 186 print titles and several hundred manuscripts and maps illustrative of the colonial era in the French Colony of Saint-Domingue, was assembled by University of Florida librarians in the mid-1950s. Most of the documents came from the French National Archives, although a portion of the manuscripts were mined from the University’s own collections. The University Library generously loaned the film to LLMC for digitization to enrich its Haiti Legal Patrimony Collection, and also bore half the cost of the digitization. Unfortunately, all of these historical gems have long languished in obscurity in their film format, and would have met much the same fate had that same formatting been transferred directly online. Therefore, while the provenance of each separate item is carefully acknowledged, the collection has been broken up into smaller units to make them more discoverable and citeable as follows. All of the print items were reassembled in the following pattern: A.) 69 print items are offered on this site as standalone titles; B.) 67 print items were reassembled into a composite title covering Activities in Saint Domingue; C.) 27 print items were reassembled into a a composite title - French Documents Related to Saint-Domingue; D.) 19 print items were reassembled into a a composite title - French Documents Related to the French Colonies; and E.) all of the hundreds of manuscripts were organized into a composite title of 16 volumes entitled Saint Domingue Collection, The Manuscripts. While the manuscript volumes follow a somewhat different plan, all of the parts within each of the three composite print titles {B-C-D above} are organized in rough chronological order, and each composite title has been enhanced with a detailed Table of Contents. Given that the part numbers assigned to these items will never change, a given part can be cited with confidence. The manuscripts that were extracted from those 16 reels of the microfilm that contained manuscripts have been grouped into the 16 online volumes comprising the present composite title, with the items appearing in the exact order in which they appeared on the film, along with images of any film guides that may have been provided. Each of the 16 online volumes is also being provided with its own “living index.” LLMC welcomes additions to these “living indexes” as volunteered by interested scholars willing to submit their identifications of particular manuscripts or notes of related historical content. Updated versions of the indexes will be “swapped in” as additional editorial matter is received. Parties interested in participating in this “living index” project should should contact Matthew Loving, MLS MA, Romance languages/Area Studies Librarian at the UFL Smathers Library mwloving@ad.ufl.edu.)",4,abstract,dlc
mixed material,4,typeOfResource,dlc
"The University of Florida George A. Smathers Libraries respect the intellectual property rights of others and do not claim any copyright interest in this item. This item may be protected by copyright but is made available here under a claim of fair use (17 U.S.C. §107) for non-profit research and educational purposes. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by fair use or other copyright exemptions. Any reuse of this item in excess of fair use or other copyright exemptions requires permission of the copyright holder. The Smathers Libraries would like to learn more about this item and invite individuals or organizations to contact Digital Services (UFDC@uflib.ufl.edu) with any additional information they can provide.",4,accessCondition,dlc
Manuscript materials from 16 microfilm reels,4,physicalDescription,dlc
"All of the manuscripts were kept with the other manuscripts that appeared on the same reel; in exactly the same order as they appeared on the reel. Four of the original 20 reels (#1, 15, 16 & 17) had only print items and were not digitized, so there are only 16 digital volumes that correspond to the different reels. The reels correspond to these LLMC nos: reel 2 manuscripts - 31169.0001.001; reel 3 manuscripts - 31169.0002.001; reel 4 manuscripts - 31169.0003.001; reel 5 manuscripts - 31169.0004.001;  reel 6 manuscripts - 31169.0005.001;  reel 7 manuscripts - 31169.0006.001; reel 8 manuscripts - 31169.0007.001;  reel 9 manuscripts - -31169.0008.001; reel 10 manuscripts- 31169.0009.001; reel 11 manuscripts- 31169.0010.001; reel 12 manuscripts- 31169.0011.001; reel 13 manuscripts- 31169.0012.001; reel 14 manuscripts- 31169.0013.001; reel 18 manuscripts- 31169.0014.001; reel 19 manuscripts- 31169.0015.001; reel 20 manuscripts- 31169.0016.001",4,note,dlc
16 volume composite Saint Domingue Manuscript Collection,4,titleInfo,dlc
Reel 5 manuscripts - LLMC MS - 31169.0004.001,4,titleInfo,dlc
AA00010296_00003University of Florida,3,recordInfo,dlc
31169,3,identifier,dlc
HaitiFrench Colony of Saint-Domingue,3,originInfo,dlc
Manuscript materials from 16 microfilm reels,3,relatedItem,dlc
16 volume composite Saint Domingue Manuscript CollectionReel 4 manuscripts - LLMC MS - 31169.0003.0014,3,relatedItem,dlc
Reel 4 manuscripts - LLMC MS - 31169.0003.0014,3,part,dlc
"The University of Florida’s Saint Domingue Collection; the Manuscripts: 16 online volumes corresponding to the 16 reels of microfilm from the University Library’s collection from which manuscripts were extracted and digitized. (The Saint Domingue Collection, an assemblage of 20 reels of microfilm containing 186 print titles and several hundred manuscripts and maps illustrative of the colonial era in the French Colony of Saint-Domingue, was assembled by University of Florida librarians in the mid-1950s. Most of the documents came from the French National Archives, although a portion of the manuscripts were mined from the University’s own collections. The University Library generously loaned the film to LLMC for digitization to enrich its Haiti Legal Patrimony Collection, and also bore half the cost of the digitization. Unfortunately, all of these historical gems have long languished in obscurity in their film format, and would have met much the same fate had that same formatting been transferred directly online. Therefore, while the provenance of each separate item is carefully acknowledged, the collection has been broken up into smaller units to make them more discoverable and citeable as follows. All of the print items were reassembled in the following pattern: A.) 69 print items are offered on this site as standalone titles; B.) 67 print items were reassembled into a composite title covering Activities in Saint Domingue; C.) 27 print items were reassembled into a a composite title - French Documents Related to Saint-Domingue; D.) 19 print items were reassembled into a a composite title - French Documents Related to the French Colonies; and E.) all of the hundreds of manuscripts were organized into a composite title of 16 volumes entitled Saint Domingue Collection, The Manuscripts. While the manuscript volumes follow a somewhat different plan, all of the parts within each of the three composite print titles {B-C-D above} are organized in rough chronological order, and each composite title has been enhanced with a detailed Table of Contents. Given that the part numbers assigned to these items will never change, a given part can be cited with confidence. The manuscripts that were extracted from those 16 reels of the microfilm that contained manuscripts have been grouped into the 16 online volumes comprising the present composite title, with the items appearing in the exact order in which they appeared on the film, along with images of any film guides that may have been provided. Each of the 16 online volumes is also being provided with its own “living index.” LLMC welcomes additions to these “living indexes” as volunteered by interested scholars willing to submit their identifications of particular manuscripts or notes of related historical content. Updated versions of the indexes will be “swapped in” as additional editorial matter is received. Parties interested in participating in this “living index” project should should contact Matthew Loving, MLS MA, Romance languages/Area Studies Librarian at the UFL Smathers Library mwloving@ad.ufl.edu.)",3,abstract,dlc
mixed material,3,typeOfResource,dlc
"The University of Florida George A. Smathers Libraries respect the intellectual property rights of others and do not claim any copyright interest in this item. This item may be protected by copyright but is made available here under a claim of fair use (17 U.S.C. §107) for non-profit research and educational purposes. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by fair use or other copyright exemptions. Any reuse of this item in excess of fair use or other copyright exemptions requires permission of the copyright holder. The Smathers Libraries would like to learn more about this item and invite individuals or organizations to contact Digital Services (UFDC@uflib.ufl.edu) with any additional information they can provide.",3,accessCondition,dlc
